,GROUP,CONCEPT,NAME,NAME_USED,MAJOR_GROUP,TERR_GROUP,MAJOR_ORDER,SPECIES_NAME,NEW_GROUP,NEW_GROUP_2,bad_sp
12146,PlantBugs,Hem_3016,Compsidolon salicellum,Hem_3016,INSECTS,TERR_INC,OTHER_INSECTS,Compsidolon salicellum,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1361,Conostethus brevis,Hem_1361,INSECTS,TERR_INC,OTHER_INSECTS,Conostethus brevis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1362,Conostethus griseus,Hem_1362,INSECTS,TERR_INC,OTHER_INSECTS,Conostethus griseus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1363,Conostethus roseus,Hem_1363,INSECTS,TERR_INC,OTHER_INSECTS,Conostethus roseus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_4105,Conostethus venustus,Hem_4105,INSECTS,TERR_INC,OTHER_INSECTS,Conostethus venustus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_4140,Coranus aethiops,Hem_4140,INSECTS,TERR_INC,OTHER_INSECTS,Coranus aethiops,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1365,Coranus subapterus,Hem_1365,INSECTS,TERR_INC,OTHER_INSECTS,Coranus subapterus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1366,Coranus woodroffei,Hem_1366,INSECTS,TERR_INC,OTHER_INSECTS,Coranus woodroffei,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1417,Cyllecoris histrionicus,Hem_1417,INSECTS,TERR_INC,OTHER_INSECTS,Cyllecoris histrionius,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,no_match,Cyllecoris histrionius,Hem_1417,INSECTS,TERR_INC,OTHER_INSECTS,Cyllecoris histrionius,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1424,Cymus aurescens,Hem_1424,INSECTS,TERR_INC,OTHER_INSECTS,Cymus aurescens,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1425,Cymus claviculus,Hem_1425,INSECTS,TERR_INC,OTHER_INSECTS,Cymus claviculus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1426,Cymus glandicolor,Hem_1426,INSECTS,TERR_INC,OTHER_INSECTS,Cymus glandicolor,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1427,Cymus melanocephalus,Hem_1427,INSECTS,TERR_INC,OTHER_INSECTS,Cymus melanocephalus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1429,Cyrtorhinus caricis,Hem_1429,INSECTS,TERR_INC,OTHER_INSECTS,Cyrtorhinus caricis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_3819,Deraeocoris flavilinea,Hem_3819,INSECTS,TERR_INC,OTHER_INSECTS,Deraeocoris flavilinea,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1447,Deraeocoris lutescens,Hem_1447,INSECTS,TERR_INC,OTHER_INSECTS,Deraeocoris lutescens,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1444,Deraeocoris olivaceus,Hem_1444,INSECTS,TERR_INC,OTHER_INSECTS,Deraeocoris olivaceus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1445,Deraeocoris ruber,Hem_1445,INSECTS,TERR_INC,OTHER_INSECTS,Deraeocoris ruber,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1446,Deraeocoris scutellaris,Hem_1446,INSECTS,TERR_INC,OTHER_INSECTS,Deraeocoris scutellaris,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1449,Derephysia foliacea,Hem_1449,INSECTS,TERR_INC,OTHER_INSECTS,Derephysia foliacea,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_2651,Dichrooscytus gustavi,Hem_2651,INSECTS,TERR_INC,OTHER_INSECTS,Dichrooscytus gustavi,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1452,Dichrooscytus rufipennis,Hem_1452,INSECTS,TERR_INC,OTHER_INSECTS,Dichrooscytus rufipennis,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1460,Dictyla convergens,Hem_1460,INSECTS,TERR_INC,OTHER_INSECTS,Dictyla convergens,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1462,Dictyonota fuliginosa,Hem_1462,INSECTS,TERR_INC,OTHER_INSECTS,Dictyonota fuliginosa,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1463,Dictyonota strichnocera,Hem_1463,INSECTS,TERR_INC,OTHER_INSECTS,Dictyonota strichnocera,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1465,Dicyphus annulatus,Hem_1465,INSECTS,TERR_INC,OTHER_INSECTS,Dicyphus annulatus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1467,Dicyphus constrictus,Hem_1467,INSECTS,TERR_INC,OTHER_INSECTS,Dicyphus constrictus,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
12146,PlantBugs,Hem_1468,Dicyphus epilobii,Hem_1468,INSECTS,TERR_INC,OTHER_INSECTS,Dicyphus epilobii,TERRESTRIAL_INVERTS,TERRESTRIAL_INSECTS,no
