,SPECIES,SPECIES_NAME,GROUP,MAJOR_ORDER
62,Notonecta maculata,Notonecta maculata,AquaticBugs,FRESHWATER_SPECIES
63,Notonecta obliqua,Notonecta obliqua,AquaticBugs,FRESHWATER_SPECIES
64,Notonecta viridis,Notonecta viridis,AquaticBugs,FRESHWATER_SPECIES
65,Paracorixa concinna,Paracorixa concinna,AquaticBugs,FRESHWATER_SPECIES
66,Plea minutissima,Plea minutissima,AquaticBugs,FRESHWATER_SPECIES
67,Ranatra linearis,Ranatra linearis,AquaticBugs,FRESHWATER_SPECIES
68,Saldula saltatoria,Saldula saltatoria,AquaticBugs,FRESHWATER_SPECIES
69,Sigara distincta,Sigara distincta,AquaticBugs,FRESHWATER_SPECIES
70,Sigara dorsalis,Sigara dorsalis,AquaticBugs,FRESHWATER_SPECIES
71,Sigara falleni,Sigara falleni,AquaticBugs,FRESHWATER_SPECIES
72,Sigara fossarum,Sigara fossarum,AquaticBugs,FRESHWATER_SPECIES
73,Sigara lateralis,Sigara lateralis,AquaticBugs,FRESHWATER_SPECIES
74,Sigara limitata,Sigara limitata,AquaticBugs,FRESHWATER_SPECIES
75,Sigara nigrolineata,Sigara nigrolineata,AquaticBugs,FRESHWATER_SPECIES
76,Sigara scotti,Sigara scotti,AquaticBugs,FRESHWATER_SPECIES
77,Sigara semistriata,Sigara semistriata,AquaticBugs,FRESHWATER_SPECIES
78,Sigara stagnalis,Sigara stagnalis,AquaticBugs,FRESHWATER_SPECIES
79,Sigara venusta,Sigara venusta,AquaticBugs,FRESHWATER_SPECIES
80,Velia caprai,Velia caprai,AquaticBugs,FRESHWATER_SPECIES
81,ANDRENA alfkenella,ANDRENA alfkenella,Bees,TERRESTRIAL_INSECTS
82,ANDRENA angustior,ANDRENA angustior,Bees,TERRESTRIAL_INSECTS
83,ANDRENA apicata,ANDRENA apicata,Bees,TERRESTRIAL_INSECTS
84,ANDRENA argentata,ANDRENA argentata,Bees,TERRESTRIAL_INSECTS
85,ANDRENA barbilabris,ANDRENA barbilabris,Bees,TERRESTRIAL_INSECTS
86,ANDRENA bicolor,ANDRENA bicolor,Bees,TERRESTRIAL_INSECTS
87,ANDRENA bimaculata,ANDRENA bimaculata,Bees,TERRESTRIAL_INSECTS
88,ANDRENA bucephala,ANDRENA bucephala,Bees,TERRESTRIAL_INSECTS
89,ANDRENA chrysosceles,ANDRENA chrysosceles,Bees,TERRESTRIAL_INSECTS
90,ANDRENA cineraria,ANDRENA cineraria,Bees,TERRESTRIAL_INSECTS
91,ANDRENA clarkella,ANDRENA clarkella,Bees,TERRESTRIAL_INSECTS
92,ANDRENA coitana,ANDRENA coitana,Bees,TERRESTRIAL_INSECTS
93,ANDRENA congruens,ANDRENA congruens,Bees,TERRESTRIAL_INSECTS
94,ANDRENA denticulata,ANDRENA denticulata,Bees,TERRESTRIAL_INSECTS
95,ANDRENA dorsata,ANDRENA dorsata,Bees,TERRESTRIAL_INSECTS
96,ANDRENA flavipes,ANDRENA flavipes,Bees,TERRESTRIAL_INSECTS
97,ANDRENA florea,ANDRENA florea,Bees,TERRESTRIAL_INSECTS
98,ANDRENA fucata,ANDRENA fucata,Bees,TERRESTRIAL_INSECTS
99,ANDRENA fulva,ANDRENA fulva,Bees,TERRESTRIAL_INSECTS
100,ANDRENA fulvago,ANDRENA fulvago,Bees,TERRESTRIAL_INSECTS
101,ANDRENA fuscipes,ANDRENA fuscipes,Bees,TERRESTRIAL_INSECTS
102,ANDRENA haemorrhoa,ANDRENA haemorrhoa,Bees,TERRESTRIAL_INSECTS
103,ANDRENA hattorfiana,ANDRENA hattorfiana,Bees,TERRESTRIAL_INSECTS
104,ANDRENA helvola,ANDRENA helvola,Bees,TERRESTRIAL_INSECTS
105,ANDRENA humilis,ANDRENA humilis,Bees,TERRESTRIAL_INSECTS
106,ANDRENA labialis,ANDRENA labialis,Bees,TERRESTRIAL_INSECTS
107,ANDRENA labiata,ANDRENA labiata,Bees,TERRESTRIAL_INSECTS
108,ANDRENA lapponica,ANDRENA lapponica,Bees,TERRESTRIAL_INSECTS
109,ANDRENA marginata,ANDRENA marginata,Bees,TERRESTRIAL_INSECTS
110,ANDRENA minutula,ANDRENA minutula,Bees,TERRESTRIAL_INSECTS
111,ANDRENA minutuloides,ANDRENA minutuloides,Bees,TERRESTRIAL_INSECTS
112,ANDRENA nigriceps,ANDRENA nigriceps,Bees,TERRESTRIAL_INSECTS
113,ANDRENA nigroaenea,ANDRENA nigroaenea,Bees,TERRESTRIAL_INSECTS
114,ANDRENA nitida,ANDRENA nitida,Bees,TERRESTRIAL_INSECTS
115,ANDRENA nitidiuscula,ANDRENA nitidiuscula,Bees,TERRESTRIAL_INSECTS
116,ANDRENA ovatula,ANDRENA ovatula,Bees,TERRESTRIAL_INSECTS
117,ANDRENA praecox,ANDRENA praecox,Bees,TERRESTRIAL_INSECTS
118,ANDRENA proxima,ANDRENA proxima,Bees,TERRESTRIAL_INSECTS
119,ANDRENA ruficrus,ANDRENA ruficrus,Bees,TERRESTRIAL_INSECTS
120,Andrena scotica,Andrena scotica,Bees,TERRESTRIAL_INSECTS
