,SPECIES,SPECIES_NAME,GROUP,MAJOR_ORDER
1164,Dip_6417,Phylidorea fulvonervosa,Craneflies,TERRESTRIAL_INSECTS
1165,Dip_6420,Phylidorea squalens,Craneflies,TERRESTRIAL_INSECTS
1166,Dip_6531,Pilaria discicollis,Craneflies,TERRESTRIAL_INSECTS
1167,Dip_6532,Pilaria fuscipennis,Craneflies,TERRESTRIAL_INSECTS
1168,Dip_6787,Prionocera turcica,Craneflies,TERRESTRIAL_INSECTS
1169,Dip_6856,Pseudolimnophila lucorum,Craneflies,TERRESTRIAL_INSECTS
1170,Dip_6857,Pseudolimnophila sepium,Craneflies,TERRESTRIAL_INSECTS
1171,Dip_6941,Ptychoptera albimana,Craneflies,TERRESTRIAL_INSECTS
1172,Dip_6942,Ptychoptera contaminata,Craneflies,TERRESTRIAL_INSECTS
1173,Dip_6943,Ptychoptera lacustris,Craneflies,TERRESTRIAL_INSECTS
1174,Dip_6945,Ptychoptera minuta,Craneflies,TERRESTRIAL_INSECTS
1175,Dip_7152,Rhipidia maculata,Craneflies,TERRESTRIAL_INSECTS
1176,Dip_7173,Rhypholophus bifurcatus,Craneflies,TERRESTRIAL_INSECTS
1177,Dip_7175,Rhypholophus varius,Craneflies,TERRESTRIAL_INSECTS
1178,Dip_7723,Symplecta hybrida,Craneflies,TERRESTRIAL_INSECTS
1179,Dip_7728,Symplecta stictica,Craneflies,TERRESTRIAL_INSECTS
1180,Dip_7877,Tasiocera murina,Craneflies,TERRESTRIAL_INSECTS
1181,Dip_7982,Thaumastoptera calceata,Craneflies,TERRESTRIAL_INSECTS
1182,Dip_8083,Tipula cava,Craneflies,TERRESTRIAL_INSECTS
1183,Dip_8748,Tipula confusa,Craneflies,TERRESTRIAL_INSECTS
1184,Dip_8086,Tipula couckei,Craneflies,TERRESTRIAL_INSECTS
1185,Dip_8087,Tipula fascipennis,Craneflies,TERRESTRIAL_INSECTS
1186,Dip_8088,Tipula flavolineata,Craneflies,TERRESTRIAL_INSECTS
1187,Dip_8089,Tipula fulvipennis,Craneflies,TERRESTRIAL_INSECTS
1188,Dip_8096,Tipula irrorata,Craneflies,TERRESTRIAL_INSECTS
1189,Dip_8098,Tipula lateralis,Craneflies,TERRESTRIAL_INSECTS
1190,Dip_8101,Tipula luna,Craneflies,TERRESTRIAL_INSECTS
1191,Dip_8102,Tipula lunata,Craneflies,TERRESTRIAL_INSECTS
1192,Dip_8104,Tipula luteipennis,Craneflies,TERRESTRIAL_INSECTS
1193,Dip_8105,Tipula maxima,Craneflies,TERRESTRIAL_INSECTS
1194,Dip_8106,Tipula melanoceros,Craneflies,TERRESTRIAL_INSECTS
1195,Dip_8108,Tipula montium,Craneflies,TERRESTRIAL_INSECTS
1196,Dip_8112,Tipula obsoleta,Craneflies,TERRESTRIAL_INSECTS
1197,Dip_8113,Tipula oleracea,Craneflies,TERRESTRIAL_INSECTS
1198,Dip_8115,Tipula pagana,Craneflies,TERRESTRIAL_INSECTS
1199,Dip_8116,Tipula paludosa,Craneflies,TERRESTRIAL_INSECTS
1200,Dip_8118,Tipula pierrei,Craneflies,TERRESTRIAL_INSECTS
1201,Dip_8119,Tipula pruinosa,Craneflies,TERRESTRIAL_INSECTS
1202,Dip_8121,Tipula rufina,Craneflies,TERRESTRIAL_INSECTS
1203,Dip_8123,Tipula scripta,Craneflies,TERRESTRIAL_INSECTS
1204,Dip_8127,Tipula signata,Craneflies,TERRESTRIAL_INSECTS
1205,Dip_8128,Tipula staegeri,Craneflies,TERRESTRIAL_INSECTS
1206,Dip_8129,Tipula subcunctans,Craneflies,TERRESTRIAL_INSECTS
1207,Dip_8130,Tipula submarmorata,Craneflies,TERRESTRIAL_INSECTS
1208,Dip_8133,Tipula unca,Craneflies,TERRESTRIAL_INSECTS
1209,Dip_8134,Tipula variicornis,Craneflies,TERRESTRIAL_INSECTS
1210,Dip_8135,Tipula varipennis,Craneflies,TERRESTRIAL_INSECTS
1211,Dip_8136,Tipula vernalis,Craneflies,TERRESTRIAL_INSECTS
1212,Dip_8137,Tipula vittata,Craneflies,TERRESTRIAL_INSECTS
1213,Dip_8179,Trichocera annulata,Craneflies,TERRESTRIAL_INSECTS
1214,Dip_8180,Trichocera hiemalis,Craneflies,TERRESTRIAL_INSECTS
1215,Dip_8184,Trichocera regelationis,Craneflies,TERRESTRIAL_INSECTS
1216,Dip_8187,Trichocera saltator,Craneflies,TERRESTRIAL_INSECTS
1217,Dip_8241,Tricyphona immaculata,Craneflies,TERRESTRIAL_INSECTS
1218,Dip_8310,Ula mollissima,Craneflies,TERRESTRIAL_INSECTS
1219,Dip_8311,Ula sylvatica,Craneflies,TERRESTRIAL_INSECTS
1220,Aeshna caerulea,Aeshna caerulea,Dragonflies,FRESHWATER_SPECIES
1221,Aeshna cyanea,Aeshna cyanea,Dragonflies,FRESHWATER_SPECIES
1222,Aeshna grandis,Aeshna grandis,Dragonflies,FRESHWATER_SPECIES
1223,Aeshna juncea,Aeshna juncea,Dragonflies,FRESHWATER_SPECIES
1224,Aeshna mixta,Aeshna mixta,Dragonflies,FRESHWATER_SPECIES
1225,Anaciaeschna isoceles,Anaciaeschna isoceles,Dragonflies,FRESHWATER_SPECIES
1226,Anax imperator,Anax imperator,Dragonflies,FRESHWATER_SPECIES
1227,Anax parthenope,Anax parthenope,Dragonflies,FRESHWATER_SPECIES
1228,Brachytron pratense,Brachytron pratense,Dragonflies,FRESHWATER_SPECIES
1229,Calopteryx splendens,Calopteryx splendens,Dragonflies,FRESHWATER_SPECIES
1230,Calopteryx virgo,Calopteryx virgo,Dragonflies,FRESHWATER_SPECIES
1231,Ceriagrion tenellum,Ceriagrion tenellum,Dragonflies,FRESHWATER_SPECIES
1232,Coenagrion hastulatum,Coenagrion hastulatum,Dragonflies,FRESHWATER_SPECIES
1233,Coenagrion mercuriale,Coenagrion mercuriale,Dragonflies,FRESHWATER_SPECIES
1234,Coenagrion puella,Coenagrion puella,Dragonflies,FRESHWATER_SPECIES
1235,Coenagrion pulchellum,Coenagrion pulchellum,Dragonflies,FRESHWATER_SPECIES
1236,Cordulegaster boltonii,Cordulegaster boltonii,Dragonflies,FRESHWATER_SPECIES
1237,Cordulia aenea,Cordulia aenea,Dragonflies,FRESHWATER_SPECIES
1238,Enallagma cyathigerum,Enallagma cyathigerum,Dragonflies,FRESHWATER_SPECIES
1239,Erythromma najas,Erythromma najas,Dragonflies,FRESHWATER_SPECIES
1240,Erythromma viridulum,Erythromma viridulum,Dragonflies,FRESHWATER_SPECIES
1241,Gomphus vulgatissimus,Gomphus vulgatissimus,Dragonflies,FRESHWATER_SPECIES
1242,Ischnura elegans,Ischnura elegans,Dragonflies,FRESHWATER_SPECIES
1243,Ischnura pumilio,Ischnura pumilio,Dragonflies,FRESHWATER_SPECIES
1244,Lestes barbarus,Lestes barbarus,Dragonflies,FRESHWATER_SPECIES
1245,Lestes sponsa,Lestes sponsa,Dragonflies,FRESHWATER_SPECIES
1246,Leucorrhinia dubia,Leucorrhinia dubia,Dragonflies,FRESHWATER_SPECIES
1247,Libellula depressa,Libellula depressa,Dragonflies,FRESHWATER_SPECIES
1248,Libellula fulva,Libellula fulva,Dragonflies,FRESHWATER_SPECIES
1249,Libellula quadrimaculata,Libellula quadrimaculata,Dragonflies,FRESHWATER_SPECIES
1250,Orthetrum cancellatum,Orthetrum cancellatum,Dragonflies,FRESHWATER_SPECIES
1251,Orthetrum coerulescens,Orthetrum coerulescens,Dragonflies,FRESHWATER_SPECIES
1252,Platycnemis pennipes,Platycnemis pennipes,Dragonflies,FRESHWATER_SPECIES
1253,Pyrrhosoma nymphula,Pyrrhosoma nymphula,Dragonflies,FRESHWATER_SPECIES
1254,Somatochlora arctica,Somatochlora arctica,Dragonflies,FRESHWATER_SPECIES
1255,Somatochlora metallica,Somatochlora metallica,Dragonflies,FRESHWATER_SPECIES
1256,Sympetrum danae,Sympetrum danae,Dragonflies,FRESHWATER_SPECIES
1257,Sympetrum flaveolum,Sympetrum flaveolum,Dragonflies,FRESHWATER_SPECIES
1258,Sympetrum fonscolombii,Sympetrum fonscolombii,Dragonflies,FRESHWATER_SPECIES
1259,Sympetrum sanguineum,Sympetrum sanguineum,Dragonflies,FRESHWATER_SPECIES
1260,Sympetrum striolatum,Sympetrum striolatum,Dragonflies,FRESHWATER_SPECIES
1261,Achalcus cinereus,Achalcus cinereus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1262,Achalcus flavicollis,Achalcus flavicollis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1263,Anepsiomyia flaviventris,Anepsiomyia flaviventris,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1264,Aphrosylus celtiber,Aphrosylus celtiber,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1265,Argyra argentina,Argyra argentina,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1266,Argyra argyria,Argyra argyria,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1267,Argyra diaphana,Argyra diaphana,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1268,Argyra ilonae,Argyra ilonae,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1269,Argyra leucocephala,Argyra leucocephala,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1270,Argyra perplexa,Argyra perplexa,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1271,Argyra vestita,Argyra vestita,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1272,Bicellaria intermedia,Bicellaria intermedia,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1273,Bicellaria nigra,Bicellaria nigra,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1274,Bicellaria pilosa,Bicellaria pilosa,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1275,Bicellaria vana,Bicellaria vana,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1276,Campsicnemus armatus,Campsicnemus armatus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1277,Campsicnemus curvipes,Campsicnemus curvipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1278,Campsicnemus loripes,Campsicnemus loripes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1279,Campsicnemus scambus,Campsicnemus scambus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1280,Chelifera precabunda,Chelifera precabunda,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1281,Chelifera precatoria,Chelifera precatoria,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1282,Chelifera trapezina,Chelifera trapezina,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1283,Chelipoda vocatoria,Chelipoda vocatoria,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1284,Chrysotimus flaviventris,Chrysotimus flaviventris,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1285,Chrysotimus molliculus,Chrysotimus molliculus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1286,Chrysotus blepharosceles,Chrysotus blepharosceles,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1287,Chrysotus cilipes,Chrysotus cilipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1288,Chrysotus gramineus,Chrysotus gramineus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1289,Chrysotus neglectus,Chrysotus neglectus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1290,Clinocera fontinalis,Clinocera fontinalis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1291,Clinocera stagnalis,Clinocera stagnalis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1292,Crossopalpus nigritellus,Crossopalpus nigritellus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1293,Dolichocephala irrorata,Dolichocephala irrorata,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1294,Dolichopus andalusiacus,Dolichopus andalusiacus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1295,Dolichopus atratus,Dolichopus atratus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1296,Dolichopus atripes,Dolichopus atripes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1297,Dolichopus brevipennis,Dolichopus brevipennis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1298,Dolichopus campestris,Dolichopus campestris,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1299,Dolichopus diadema,Dolichopus diadema,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1300,Dolichopus discifer,Dolichopus discifer,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1301,Dolichopus festivus,Dolichopus festivus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1302,Dolichopus griseipennis,Dolichopus griseipennis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1303,Dolichopus latilimbatus,Dolichopus latilimbatus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1304,Dolichopus longicornis,Dolichopus longicornis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1305,Dolichopus longitarsis,Dolichopus longitarsis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1306,Dolichopus nubilus,Dolichopus nubilus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1307,Dolichopus pennatus,Dolichopus pennatus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1308,Dolichopus picipes,Dolichopus picipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1309,Dolichopus plumipes,Dolichopus plumipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1310,Dolichopus popularis,Dolichopus popularis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1311,Dolichopus signatus,Dolichopus signatus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1312,Dolichopus simplex,Dolichopus simplex,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1313,Dolichopus trivialis,Dolichopus trivialis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1314,Dolichopus ungulatus,Dolichopus ungulatus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1315,Dolichopus urbanus,Dolichopus urbanus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1316,Dolichopus vitripennis,Dolichopus vitripennis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1317,Dolichopus wahlbergi,Dolichopus wahlbergi,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1318,Drapetis assimilis,Drapetis assimilis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1319,Empis aestiva,Empis aestiva,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1320,Empis albinervis,Empis albinervis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1321,Empis caudatula,Empis caudatula,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1322,Empis chioptera,Empis chioptera,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1323,Empis digramma,Empis digramma,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1324,Empis femorata,Empis femorata,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1325,Empis grisea,Empis grisea,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1326,Empis livida,Empis livida,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1327,Empis lutea,Empis lutea,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1328,Empis nigripes,Empis nigripes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1329,Empis nigritarsis,Empis nigritarsis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1330,Empis nuntia,Empis nuntia,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1331,Empis opaca,Empis opaca,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1332,Empis pennipes,Empis pennipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1333,Empis praevia,Empis praevia,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1334,Empis punctata,Empis punctata,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1335,Empis scutellata,Empis scutellata,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1336,Empis stercorea,Empis stercorea,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1337,Empis tessellata,Empis tessellata,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1338,Empis trigramma,Empis trigramma,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1339,Empis volucris,Empis volucris,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1340,Empis woodi,Empis woodi,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1341,Euthyneura myrtilli,Euthyneura myrtilli,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1342,Gloma fuscipennis,Gloma fuscipennis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1343,Gymnopternus aerosus,Gymnopternus aerosus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1344,Gymnopternus assimilis,Gymnopternus assimilis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1345,Gymnopternus celer,Gymnopternus celer,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1346,Gymnopternus cupreus,Gymnopternus cupreus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1347,Gymnopternus metallicus,Gymnopternus metallicus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1348,Heleodromia immaculata,Heleodromia immaculata,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1349,Hemerodromia raptoria,Hemerodromia raptoria,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1350,Hemerodromia unilineata,Hemerodromia unilineata,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1351,Hercostomus nanus,Hercostomus nanus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1352,Hercostomus nigripennis,Hercostomus nigripennis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1353,Hercostomus parvilamellatus,Hercostomus parvilamellatus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1354,Hercostomus plagiatus,Hercostomus plagiatus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1355,Hilara anglodanica,Hilara anglodanica,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1356,Hilara beckeri,Hilara beckeri,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1357,Hilara brevistyla,Hilara brevistyla,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1358,Hilara canescens,Hilara canescens,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1359,Hilara cantabrica,Hilara cantabrica,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1360,Hilara chorica,Hilara chorica,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1361,Hilara clavipes,Hilara clavipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1362,Hilara cornicula,Hilara cornicula,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1363,Hilara curtisi,Hilara curtisi,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1364,Hilara flavipes,Hilara flavipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1365,Hilara fuscipes,Hilara fuscipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1366,Hilara galactoptera,Hilara galactoptera,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1367,Hilara intermedia,Hilara intermedia,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1368,Hilara interstincta,Hilara interstincta,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1369,Hilara litorea,Hilara litorea,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1370,Hilara longifurca,Hilara longifurca,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1371,Hilara lurida,Hilara lurida,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1372,Hilara manicata,Hilara manicata,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1373,Hilara maura,Hilara maura,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1374,Hilara nigrina,Hilara nigrina,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1375,Hilara obscura,Hilara obscura,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1376,Hilara pilosa,Hilara pilosa,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1377,Hilara pseudochorica,Hilara pseudochorica,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1378,Hilara pseudocornicula,Hilara pseudocornicula,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1379,Hilara quadrifasciata,Hilara quadrifasciata,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1380,Hilara rejecta,Hilara rejecta,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1381,Hilara thoracica,Hilara thoracica,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1382,Hybos culiciformis,Hybos culiciformis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1383,Hybos femoratus,Hybos femoratus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1384,Hydrophorus oceanus,Hydrophorus oceanus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1385,Hydrophorus praecox,Hydrophorus praecox,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1386,Kowarzia bipunctata,Kowarzia bipunctata,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1387,Leptopeza flavipes,Leptopeza flavipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1388,Liancalus virens,Liancalus virens,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1389,Machaerium maritimae,Machaerium maritimae,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1390,Medetera impigra,Medetera impigra,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1391,Medetera jacula,Medetera jacula,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1392,Medetera saxatilis,Medetera saxatilis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1393,Medetera truncorum,Medetera truncorum,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1394,Micromorphus albipes,Micromorphus albipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1395,Microphor crassipes,Microphor crassipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1396,Microphor holosericeus,Microphor holosericeus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1397,Neurigona quadrifasciata,Neurigona quadrifasciata,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1398,Ocydromia glabricula,Ocydromia glabricula,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1399,Oedalea flavipes,Oedalea flavipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1400,Oedalea holmgreni,Oedalea holmgreni,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1401,Oedalea stigmatella,Oedalea stigmatella,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1402,Oedalea tibialis,Oedalea tibialis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1403,Oedalea zetterstedti,Oedalea zetterstedti,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1404,Oropezella sphenoptera,Oropezella sphenoptera,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1405,Phyllodromia melanocephala,Phyllodromia melanocephala,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1406,Platypalpus agilis,Platypalpus agilis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1407,Platypalpus annulatus,Platypalpus annulatus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1408,Platypalpus annulipes,Platypalpus annulipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1409,Platypalpus australominutus,Platypalpus australominutus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1410,Platypalpus calceatus,Platypalpus calceatus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1411,Platypalpus candicans,Platypalpus candicans,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1412,Platypalpus ciliaris,Platypalpus ciliaris,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1413,Platypalpus clarandus,Platypalpus clarandus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1414,Platypalpus cothurnatus,Platypalpus cothurnatus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1415,Platypalpus cursitans,Platypalpus cursitans,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1416,Platypalpus exilis,Platypalpus exilis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1417,Platypalpus flavicornis,Platypalpus flavicornis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1418,Platypalpus incertus,Platypalpus incertus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1419,Platypalpus interstinctus,Platypalpus interstinctus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1420,Platypalpus kirtlingensis,Platypalpus kirtlingensis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1421,Platypalpus longicornis,Platypalpus longicornis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1422,Platypalpus longiseta,Platypalpus longiseta,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1423,Platypalpus luteus,Platypalpus luteus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1424,Platypalpus maculipes,Platypalpus maculipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1425,Platypalpus major,Platypalpus major,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1426,Platypalpus minutus agg.,Platypalpus minutus agg.,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1427,Platypalpus minutus sens. str.,Platypalpus minutus sens. str.,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1428,Platypalpus nigritarsis,Platypalpus nigritarsis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1429,Platypalpus notatus,Platypalpus notatus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1430,Platypalpus optivus,Platypalpus optivus,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1431,Platypalpus pallidicornis,Platypalpus pallidicornis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1432,Platypalpus pallidiventris,Platypalpus pallidiventris,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1433,Platypalpus pallipes,Platypalpus pallipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1434,Platypalpus parvicauda,Platypalpus parvicauda,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1435,Platypalpus pectoralis,Platypalpus pectoralis,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1436,Platypalpus pseudofulvipes,Platypalpus pseudofulvipes,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1437,Platypalpus verralli,Platypalpus verralli,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
1438,Poecilobothrus chrysozygos,Poecilobothrus chrysozygos,Empid & Dolichopodid Flies,TERRESTRIAL_INSECTS
